IP,Source,Country,State,Region,City,unknown_1,Latitude,Longitude,unknown_2,unknown_3
101.178.223.39, GeoIP City Edition, Rev 1: AU, 02, New South Wales, Penrith, 2750, -33.750000, 150.699997, 0, 0
101.231.146.34, GeoIP City Edition, Rev 1: CN, 23, Shanghai, Shanghai, N/A, 31.045601, 121.399696, 0, 0
101.32.178.46, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.32.206.243, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.32.26.159, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.32.29.100, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.32.34.76, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.32.46.20, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.33.117.207, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.33.123.210, GeoIP City Edition, Rev 1: CN, 22, Beijing, Beijing, N/A, 39.928902, 116.388298, 0, 0
101.69.200.162, GeoIP City Edition, Rev 1: CN, 02, Zhejiang, Hangzhou, N/A, 30.293600, 120.161400, 0, 0
101.89.219.59, GeoIP City Edition, Rev 1: CN, 23, Shanghai, Shanghai, N/A, 31.045601, 121.399696, 0, 0
103.104.99.2, GeoIP City Edition, Rev 1: ID, N/A, N/A, N/A, N/A, -6.175000, 106.828598, 0, 0
103.105.130.136, GeoIP City Edition, Rev 1: ID, 04, Jakarta Raya, Jakarta, N/A, -6.174400, 106.829399, 0, 0
103.130.195.188, GeoIP City Edition, Rev 1: IP Address not found
103.130.214.48, GeoIP City Edition, Rev 1: IP Address not found
103.140.234.9, GeoIP City Edition, Rev 1: IP Address not found
103.140.66.5, GeoIP City Edition, Rev 1: IP Address not found
103.207.11.10, GeoIP City Edition, Rev 1: IN, 16, Maharashtra, Pune, 411001, 18.533300, 73.866699, 0, 0
103.207.11.6, GeoIP City Edition, Rev 1: IN, 16, Maharashtra, Pune, 411001, 18.533300, 73.866699, 0, 0
103.215.236.2, GeoIP City Edition, Rev 1: IN, 25, Tamil Nadu, Madurai, 625001, 9.933300, 78.116699, 0, 0
103.225.99.36, GeoIP City Edition, Rev 1: IN, N/A, N/A, N/A, N/A, 20.000000, 77.000000, 0, 0
103.237.145.182, GeoIP City Edition, Rev 1: VN, 46, Binh Dinh, N/A, N/A, 13.766700, 109.233299, 0, 0
103.245.181.2, GeoIP City Edition, Rev 1: ID, 04, Jakarta Raya, Jakarta, N/A, -6.174400, 106.829399, 0, 0
103.246.240.26, GeoIP City Edition, Rev 1: IN, N/A, N/A, N/A, N/A, 20.000000, 77.000000, 0, 0
103.249.83.66, GeoIP City Edition, Rev 1: IN, 25, Tamil Nadu, Chennai, N/A, 13.083300, 80.283302, 0, 0
103.253.200.161, GeoIP City Edition, Rev 1: IN, 10, Haryana, Gurgaon, 122001, 28.466700, 77.033302, 0, 0
103.254.198.67, GeoIP City Edition, Rev 1: US, N/A, N/A, N/A, N/A, 37.750999, -97.821999, 0, 0
